session,roll_num,date,issue,question,result,title
115,388,6-Sep,H R 6147,On Motion to Instruct Conferees,F,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2019, and for other purposes"
115,387,6-Sep,H RES 1051,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 6691) to amend title 18, United States Code, to clarify the definition of crime of violence, and for other purposes, and providing for consideration of motions to suspend the rules"
115,386,6-Sep,H RES 1051,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 6691) to amend title 18, United States Code, to clarify the definition of crime of violence, and for other purposes, and providing for consideration of motions to suspend the rules"
115,385,5-Sep,H R 1635,On Passage,P,Empowering Students Through Enhanced Financial Counseling Act
115,384,5-Sep,H R 1635,On Motion to Recommit with Instructions,F,Empowering Students Through Enhanced Financial Counseling Act
115,383,5-Sep,H RES 1049,On Agreeing to the Resolution,P,Providing for consideration of the bill (H.R. 1635) Empowering Students Through Enhanced Financial Counseling Act and providing for consideration of the bill (H.R. 4606) Ensuring Small Scale LNG Certainty and Access Act
115,382,5-Sep,H RES 1049,On Ordering the Previous Question,P,Providing for consideration of the bill (H.R. 1635) Empowering Students Through Enhanced Financial Counseling Act and providing for consideration of the bill (H.R. 4606) Ensuring Small Scale LNG Certainty and Access Act
115,381,4-Sep,H R 6439,On Motion to Suspend the Rules and Pass,P,Biometric Identification Transnational Migration Alert Program Authorization Act
115,380,4-Sep,H R 6157,On Motion to Instruct Conferees,F,"Making appropriations for the Department of Defense for the fiscal year ending September 30, 2019, and for other purposes"
115,379,26-Jul,H R 5515,On Agreeing to the Conference Report,P,National Defense Authorization Act FY 2019
115,378,26-Jul,H RES 1027,On Ordering the Previous Question,P,"Providing for consideration of the conference report to accompany H.R. 5515, to authorize appropriations for fiscal year 2019 for military activities of the Department of Defense, military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for the fiscal year"
115,377,25-Jul,H R 6199,On Passage,P,Restoring Access to Medication Act
