names,descriptions,statuses,bill_committees,sponsors
H.R.2327,PAWS Act of 2017,Introduced,Veterans' Affairs,"Rep. DeSantis, Ron [R-FL-6]"
H.R.2326,Climate Solutions Commission Act of 2017,Introduced,"Energy and Commerce; Science, Space, and Technology","Rep. Delaney, John K. [D-MD-6]"
H.R.2325,Emergency Financial Manager Reform Act of 2017,Introduced,Judiciary,"Rep. Conyers, John, Jr. [D-MI-13]"
H.R.2324,"To amend title 39, United States Code, to provide that post offices shall comply with public accommodation standards under the Americans with Disabilities Act of 1990, and for other purposes.",Introduced,Oversight and Government,"Rep. Cicilline, David N. [D-RI-1]"
H.R.2323,San Gabriel Mountains Foothills and Rivers Protection Act,Introduced,Natural Resources,"Rep. Chu, Judy [D-CA-27]"
H.R.2322,Injured and Amputee Veterans Bill of Rights,Introduced,Veterans' Affairs,"Rep. Walberg, Tim [R-MI-7]"
H.R.2321,CREAATE Act,Introduced,Agriculture,"Rep. Newhouse, Dan [R-WA-4]"
H.R.2320,Samish Indian Nation Land Conveyance Act of 2017,Introduced,Natural Resources,"Rep. Larsen, Rick [D-WA-2]"
H.R.2319,Consumer Financial Choice and Capital Markets Protection Act of 2018,Introduced,Financial Services,"Rep. Rothfus, Keith J. [R-PA-12]"
H.R.2318,Military Spouse Hiring Act,Introduced,Ways and Means,"Rep. Shea-Porter, Carol [D-NH-1]"
H.R.2317,United States Coast Guard Commemorative Coin Act of 2017,Introduced,Financial Services,"Rep. Courtney, Joe [D-CT-2]"
H.R.2316,Cooperative Management of Mineral Rights Act of 2017,Passed House,Natural Resources | Senate,"Rep. Thompson, Glenn [R-PA-5]"
H.R.2315,"To posthumously award the Congressional Gold Medal to each of Glen Doherty, Tyrone Woods, J. Christopher Stevens, and Sean Smith in recognition of their contributions to the Nation.",Passed House,Financial Services | Senate,"Rep. Lynch, Stephen F. [D-MA-8]"
H.R.2314,Security Clearance Family Review Act,Introduced,Oversight and Government,"Rep. Gallego, Ruben [D-AZ-7]"
H.R.2313,Small Business Relief and Job Creation Act,Introduced,Ways and Means,"Rep. McNerney, Jerry [D-CA-9]"
H.R.2312,Enhanced Veteran Healthcare Act of 2017,Introduced,Veterans' Affairs,"Rep. O'Rourke, Beto [D-TX-16]"
H.R.2311,Express Appeals Act,Introduced,Veterans' Affairs,"Rep. O'Rourke, Beto [D-TX-16]"
H.R.2310,Faith in Health Savings Accounts Act of 2017,Introduced,Ways and Means,"Rep. Kelly, Mike [R-PA-3]"
H.R.2309,Rights for Transportation Security Officers Act of 2017,Introduced,Homeland Security; Oversight and Government,"Rep. Thompson, Bennie G. [D-MS-2]"
H.R.2308,SHOP CLASS Act,Introduced,Education and the Workforce,"Rep. Ryan, Tim [D-OH-13]"
H.R.2307,Protecting Access to Lifesaving Screenings Act (PALS Act) of 2017,Introduced,Energy and Commerce; Ways and Means; Veterans' Affairs,"Rep. Wasserman Schultz, Debbie [D-FL-23]"
H.R.2306,Putting Main Street FIRST: Finishing Irresponsible Reckless Speculative Trading Act,Introduced,Ways and Means,"Rep. DeFazio, Peter A. [D-OR-4]"
H.R.2305,Computer Science in STEM Act of 2017,Introduced,"Education and the Workforce; Science, Space, and Technology","Rep. Cardenas, Tony [D-CA-29]"
H.R.2304,Computer Science Career Education Act of 2017,Introduced,Education and the Workforce,"Rep. Cardenas, Tony [D-CA-29]"
H.R.2303,America Can Code Act of 2017,Introduced,Education and the Workforce,"Rep. Cardenas, Tony [D-CA-29]"
H.R.2302,"To designate the facility of the United States Postal Service located at 259 Nassau Street, Suite 2 in Princeton, New Jersey, as the ""Dr. John F. Nash, Jr. Post Office"".",Became Law,Oversight and Government | Senate,"Rep. Watson Coleman, Bonnie [D-NJ-12]"
H.R.2301,Court Legal Access and Student Support (CLASS) Act of 2017,Introduced,Education and the Workforce; Judiciary,"Rep. Waters, Maxine [D-CA-43]"
H.R.2300,Students Before Profits Act of 2017,Introduced,Education and the Workforce,"Rep. Waters, Maxine [D-CA-43]"
H.R.2299,"Currency Optimization, Innovation, and National Savings Act of 2017",Introduced,Financial Services,"Rep. Tenney, Claudia [R-NY-22]"
H.R.2298,Former Presidents Amendment Act,Introduced,Oversight and Government; Appropriations,"Rep. Sensenbrenner, F. James, Jr. [R-WI-5]"
H.R.2297,PARTNER Act,Introduced,Ways and Means,"Rep. Meehan, Patrick [R-PA-7]"
H.R.2296,Advancing CCUS Technology Act,Introduced,"Science, Space, and Technology; Energy and Commerce","Rep. McKinley, David B. [R-WV-1]"
H.R.2295,Carried Interest Fairness Act of 2017,Introduced,Ways and Means,"Rep. Levin, Sander M. [D-MI-9]"
H.R.2294,LEO Fair Retirement Act of 2017,Introduced,Oversight and Government; Ways and Means,"Rep. King, Peter T. [R-NY-2]"
H.R.2293,To amend the Internal Revenue Code of 1986 for purposes of the tax on private foundation excess business holdings to treat as outstanding any employee-owned stock purchased by a business enterprise pursuant to certain employee stock ownership retirement plans.,Introduced,Ways and Means,"Rep. Holding, George [R-NC-2]"
H.R.2292,To extend a project of the Federal Energy Regulatory Commission involving the Cannonsville Dam.,Became Law,Energy and Commerce,"Rep. Faso, John J. [R-NY-19]"
H.R.2291,HEART Act of 2017,Introduced,Energy and Commerce; Ways and Means,"Rep. Duffy, Sean P. [R-WI-7]"
H.R.2290,Family-Based Care Services Act of 2017,Introduced,Energy and Commerce,"Rep. DeLauro, Rosa L. [D-CT-3]"
H.R.2289,Supermarket Tax Credit for Underserved Areas Act,Introduced,Ways and Means,"Rep. Cohen, Steve [D-TN-9]"
H.R.2288,Veterans Appeals Improvement and Modernization Act of 2017,Became Law,Veterans' Affairs | Senate,"Rep. Bost, Mike [R-IL-12]"
H.R.2287,Bureau of Land Management Headquarters Relocation Act,Introduced,Natural Resources,"Rep. Tipton, Scott  R. [R-CO-3]"
H.R.2286,Domestic Maritime Centers of Excellence Act of 2017,Introduced,Transportation and Infrastructure,"Rep. Green, Gene [D-TX-29]"
H.R.2285,School-Based Respiratory Health Management Act,Introduced,Energy and Commerce,"Rep. Roe, David P. [R-TN-1]"
H.R.2284,National Monument Designation Transparency and Accountability Act,Introduced,Natural Resources,"Rep. Labrador, Raul R. [R-ID-1]"
H.R.2283,"Department of Homeland Security Morale, Recognition, Learning and Engagement Act of 2017",Passed House,Homeland Security | Senate,"Rep. Thompson, Bennie G. [D-MS-2]"
H.R.2282,Equality Act,Introduced,Judiciary; Education and the Workforce; Financial Services; Oversight and Government; House Administration,"Rep. Cicilline, David N. [D-RI-1]"
H.R.2281,Border Enforcement Security Task Force Reauthorization Act of 2017,Passed House,Homeland Security | Senate,"Rep. Vela, Filemon [D-TX-34]"
H.R.2280,For the relief of Arturo Hernandez-Garcia.,Introduced,Judiciary,"Rep. Perlmutter, Ed [D-CO-7]"
H.R.2279,U.S. Air Forces Escape and Evasion Society Recognition Act of 2017,Introduced,Financial Services; House Administration,"Rep. Tsongas, Niki [D-MA-3]"
H.R.2278,Responsible Disposal Reauthorization Act of 2018,Passed House,Energy and Commerce,"Rep. Tipton, Scott  R. [R-CO-3]"
H.R.2277,End Congressional Stock Market Abuse Act of 2017,Introduced,Financial Services,"Rep. Slaughter, Louise McIntosh [D-NY-25]"
H.R.2276,Audiology Patient Choice Act of 2017,Introduced,Energy and Commerce; Ways and Means,"Rep. Rice, Tom [R-SC-7]"
H.R.2275,Giving Workers a Fair Shot Act,Introduced,Education and the Workforce; Financial Services; Oversight and Government,"Rep. Polis, Jared [D-CO-2]"
H.R.2274,HYPE Act,Passed House,Energy and Commerce,"Rep. Peters, Scott H. [D-CA-52]"
H.R.2273,Charlotte's Web Medical Access Act of 2017,Introduced,Energy and Commerce; Judiciary; Financial Services,"Rep. Perry, Scott [R-PA-4]"
H.R.2272,COAST Anti-Drilling Act,Introduced,Natural Resources,"Rep. Pallone, Frank, Jr. [D-NJ-6]"
H.R.2271,Flexibility for Working Families Act,Introduced,Education and the Workforce; Oversight and Government; House Administration; Judiciary,"Rep. Maloney, Carolyn B. [D-NY-12]"
H.R.2270,PLUS Loan Disability Forgiveness Act,Introduced,Education and the Workforce,"Rep. Langevin, James R. [D-RI-2]"
H.R.2269,Federal Refrigerant Management and Stewardship Act of 2017,Introduced,Oversight and Government,"Rep. Davis, Rodney [R-IL-13]"
H.R.2268,Empowering Educators to Prevent Trafficking Act,Introduced,Education and the Workforce,"Rep. Davis, Susan A. [D-CA-53]"
H.R.2267,Resident Physician Shortage Reduction Act of 2017,Introduced,Ways and Means; Energy and Commerce,"Rep. Crowley, Joseph [D-NY-14]"
H.R.2266,"Additional Supplemental Appropriations for Disaster Relief Requirements Act, 2017",Became Law,Judiciary | Senate,"Rep. Conyers, John, Jr. [D-MI-13]"
H.R.2265,Main Street Revival Act of 2017,Introduced,Ways and Means,"Rep. Collins, Chris [R-NY-27]"
H.R.2264,Make It In America Manufacturing Communities Act,Introduced,Financial Services,"Rep. Cicilline, David N. [D-RI-1]"
H.R.2263,Medicaid and CHIP Territory Transparency and Information Act,Introduced,Energy and Commerce,"Rep. Bilirakis, Gus M. [R-FL-12]"
H.R.2262,Free Credit Score Act of 2017,Introduced,Financial Services,"Rep. Beatty, Joyce [D-OH-3]"
H.R.2261,Marine Oil Spill Prevention Act,Introduced,"Transportation and Infrastructure; Natural Resources; Science, Space, and Technology","Rep. Wasserman Schultz, Debbie [D-FL-23]"
H.R.2260,Middle Class CHANCE Act,Introduced,Education and the Workforce,"Rep. Carbajal, Salud O. [D-CA-24]"
H.R.2259,Sam Farr and Nick Castle Peace Corps Reform Act of 2018,Became Law,Foreign Affairs; Oversight and Government; Education and the Workforce,"Rep. Poe, Ted [R-TX-2]"
H.R.2258,ADVANCE Act,Passed House,Transportation and Infrastructure | Senate,"Rep. Aguilar, Pete [D-CA-31]"
H.R.2257,Guard and Reservists Education Improvement Act,Introduced,Veterans' Affairs,"Rep. Wenstrup, Brad R. [R-OH-2]"
H.R.2256,Christa McAuliffe Commemorative Coin Act of 2017,Introduced,Financial Services,"Rep. Upton, Fred [R-MI-6]"
H.R.2255,HOME Act,Passed House,Financial Services | Senate,"Rep. Trott, David A. [R-MI-11]"
H.R.2254,"To designate the facility of the United States Postal Service located at 2635 Napa Street in Vallejo, California, as the ""Janet Capello Post Office Building"".",Became Law,Oversight and Government | Senate,"Rep. Thompson, Mike [D-CA-5]"
H.R.2253,Clean Vehicles Incentive Act of 2017,Introduced,Ways and Means,"Rep. Serrano, Jose E. [D-NY-15]"
H.R.2252,Coastal Economies Protection Act,Introduced,Natural Resources,"Rep. Sanford, Mark [R-SC-1]"
