names,descriptions,statuses,bill_committees,sponsors
H.R.5691,Insulin Affordability Data Collection Act,Introduced,Energy and Commerce,Angie Craig
H.R.5690,FAIR Act,Introduced,Oversight and Reform,Gerald E. Connolly
H.R.5689,Every Veteran Counts Act,Introduced,Veterans'' Affairs,Julia Brownley
H.R.5688,Reducing Administrative Costs and Burdens in Health Care Act of 2020,Introduced,Energy and Commerce,Cynthia Axne
H.R.5687,"Emergency Supplemental Appropriations for Disaster Relief and Puerto Rico Disaster Tax Relief Act, 2020",Passed House,Appropriations; Budget; Ways and Means,Nita M. Lowey
H.R.5686,To amend the Richard B. Russell National School Lunch Act to require that only a school food authority that had a negative balance in the nonprofit school food service account on June 30th of the year preceding the previous school year shall be required to establish a price for paid lunches.,Introduced,Education and Labor,Vicky Hartzler
H.R.5685,"To invest in basic scientific research and support technology innovation for the economic and national security of the United States, and for other purposes.",Introduced,"Science, Space, and Technology; Judiciary; Small Business; Natural Resources; Foreign Affairs",Frank D. Lucas
H.R.5684,"Chesapeake Bay Science, Education, and Ecosystem Enhancement Act of 2019",Introduced,Natural Resources,John P. Sarbanes
H.R.5683,LIFE Act,Introduced,Energy and Commerce,Eleanor Holmes Norton
H.R.5682,Care for Veterans Act of 2020,Introduced,Veterans'' Affairs,Daniel T. Kildee
H.R.5681,Protecting Communities from Hospital Closures Act of 2020,Introduced,Energy and Commerce,Brendan F. Boyle
H.R.5680,Cybersecurity Vulnerability Identification and Notification Act of 2020,Introduced,Homeland Security,James R. Langevin
H.R.5679,CISA Director Reform Act,Introduced,Homeland Security; Oversight and Reform; Energy and Commerce,John Katko
H.R.5678,Privacy Office Enhancement Act,Introduced,Homeland Security,Jefferson Van Drew
H.R.5677,Fair Credit Reporting for Servicemembers Act,Introduced,Financial Services,Linda T. Sanchez
H.R.5676,Retirement Plan Modernization Act,Introduced,Education and Labor; Ways and Means,Gregorio Kilili Camacho Sablan
H.R.5675,Safeguarding Americans'' Private Records Act of 2020,Introduced,Judiciary; Intelligence (Permanent); Financial Services; Oversight and Reform; Homeland Security,Zoe Lofgren
H.R.5674,Mobile Workforce State Income Tax Simplification Act of 2020,Introduced,Judiciary,"Henry C. ""Hank"" Johnson Jr."
H.R.5673,Gros Ventre and Assiniboine Tribes of the Fort Belknap Indian Community Water Rights Settlement Act of 2020,Introduced,Natural Resources,Ruben Gallego
H.R.5672,Commission on Sustaining Medicare and Social Security Act of 2020,Introduced,Ways and Means; Energy and Commerce,Gus M. Bilirakis
H.R.5671,Merchant Mariners of World War II Congressional Gold Medal Act of 2020,Passed House,Financial Services | Senate,John Garamendi
