session,roll_num,date,issue,question,result,title
115,124,13-Mar,H RES 208,On Agreeing to the Resolution,P,"Providing for consideration of H. Con. Res. 24, expressing the sense of Congress that the report of Special Counsel Mueller should be made available to the public and to Congress; providing for proceedings during the period from March 15, 2019, through March 22, 2019"
115,123,12-Mar,H R 1654,"On Motion to Suspend the Rules and Pass, as Amended",P,Federal Register Modernization Act
115,122,12-Mar,H R 596,"On Motion to Suspend the Rules and Pass, as Amended",P,Crimea Annexation Non-recognition Act
115,121,12-Mar,H RES 156,"On Motion to Suspend the Rules and Agree, as Amended",P,Calling for accountability and justice for the assassination of Boris Nemtsov
115,120,11-Mar,H R 758,"On Motion to Suspend the Rules and Pass, as Amended",P,Cooperate with Law Enforcement Agencies and Watch Act
115,119,11-Mar,H R 1122,On Motion to Suspend the Rules and Pass,P,Housing Choice Voucher Mobility Demonstration Act
115,118,8-Mar,H R 1,On Passage,P,For the People Act
115,117,8-Mar,H R 1,On Motion to Recommit with Instructions,F,For the People Act
115,116,8-Mar,H R 1,On Agreeing to the Amendment,A,Neguse of Colorado Part B Amendment No. 70
115,115,8-Mar,H R 1,On Agreeing to the Amendment,A,Brindisi of New York Part B Amendment No. 54
115,114,7-Mar,H R 1,On Agreeing to the Amendment,F,Davidson of Ohio Part B Amendment No. 33
115,113,7-Mar,H R 1,On Agreeing to the Amendment,F,Davidson of Ohio Part B Amendment No. 32
115,112,7-Mar,H R 1,On Agreeing to the Amendment,F,Green of Tennessee Part B Amendment No. 25
115,111,7-Mar,H R 1,On Agreeing to the Amendment,F,Pressley of Massachusetts Part B Amendment No. 24
115,110,7-Mar,H R 1,On Agreeing to the Amendment,F,Cole of Oklahoma Part B Amendment No. 5
115,109,7-Mar,H R 1,On Agreeing to the Amendment,A,Raskin of Maryland Part B Amendment No. 3
115,108,7-Mar,H RES 183,"On Motion to Suspend the Rules and Agree, as Amended",P,Condemning anti-Semitism as hateful expressions of intolerance that are contradictory to the values and aspirations that define the people of the United States and condemning anti-Muslim discrimination and bigotry against minorities as hateful expressions of intolerance that are contrary to the values and aspirations
115,107,6-Mar,H RES 172,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 1, the For the People Act of 2019; and providing for consideration of motions to suspend the rules"
115,106,6-Mar,H RES 172,On Ordering the Previous Question,P,"Providing for consideration of H.R. 1, the For the People Act of 2019; and providing for consideration of motions to suspend the rules"
115,105,5-Mar,S 49,On Motion to Suspend the Rules and Pass,P,"To designate the outstation of the Department of Veterans Affairs in North Ogden, Utah, as the Major Brent Taylor Vet Center Outstation"
115,104,5-Mar,H R 1381,On Motion to Suspend the Rules and Pass,P,Burn Pit Registry Enhancement Act
115,103,28-Feb,H R 1112,On Passage,P,Enhanced Background Checks Act
115,102,28-Feb,H R 1112,On Motion to Recommit with Instructions,F,Enhanced Background Checks Act
115,101,28-Feb,H R 1112,On Agreeing to the Amendment,A,Van Drew of New Jersey Part B Amendment No. 5
115,100,28-Feb,H R 1112,On Agreeing to the Amendment,A,Schneider of Illinois Part B Amendment No. 2
115,99,27-Feb,H R 8,On Passage,P,Bipartisan Background Checks Act
115,98,27-Feb,H R 8,On Motion to Recommit with Instructions,P,Bipartisan Background Checks Act
115,97,27-Feb,H R 8,On Agreeing to the Amendment,A,Horn of Oklahoma Part A Amendment No. 3
115,96,27-Feb,H R 8,On Agreeing to the Amendment,F,Lesko of Arizona Part A Amendment No. 1
115,95,26-Feb,S 47,On Motion to Suspend the Rules and Pass,P,Natural Resources Management Act
115,94,26-Feb,H J RES 46,On Passage,P,"Relating to a national emergency declared by the President on February 15, 2019"
115,93,26-Feb,H RES 144,On Agreeing to the Resolution,P,"Providing for consideration of the joint resolution (H.J. Res. 46) relating to a national emergency declared by the President on February 15, 2019"
115,92,26-Feb,H RES 144,On Ordering the Previous Question,P,"Providing for consideration of the joint resolution (H.J. Res. 46) relating to a national emergency declared by the President on February 15, 2019"
115,91,26-Feb,H RES 145,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 8) Bipartisan Background Checks Act, and providing for consideration of the bill (H.R. 1112) Enhanced Background Checks Act"
115,90,26-Feb,H RES 145,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 8) Bipartisan Background Checks Act, and providing for consideration of the bill (H.R. 1112) Enhanced Background Checks Act"
115,89,25-Feb,H R 276,On Motion to Suspend the Rules and Pass,P,Recognizing Achievement in Classified School Employees Act
115,88,25-Feb,H R 539,On Motion to Suspend the Rules and Pass,P,Innovators to Entrepreneurs Act
115,87,14-Feb,H J RES 31,On Agreeing to the Conference Report,P,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes"
115,86,14-Feb,H RES 131,On Agreeing to the Resolution,P,"Providing for consideration of the conference report to accompany H.J. Res. 31, making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes; providing for proceedings during the period from February 15, 2019 through February 22, 2019"
115,85,14-Feb,H RES 131,On Ordering the Previous Question,P,"Providing for consideration of the conference report to accompany H.J. Res. 31, making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes; providing for proceedings during the period from February 15, 2019 through February 22, 2019"
115,84,13-Feb,H R 995,"On Motion to Suspend the Rules and Pass, as Amended",P,Settlement Agreement Information Database Act
115,83,13-Feb,H J RES 37,On Passage,P,Directing the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress
115,82,13-Feb,H J RES 37,On Motion to Recommit with Instructions,P,Directing the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress
115,81,13-Feb,H J RES 37,On Agreeing to the Amendment,A,Buck of Colorado Amendment No. 2
115,80,13-Feb,JOURNAL,On Approving the Journal,P, 
115,79,13-Feb,H RES 122,On Agreeing to the Resolution,P,"Providing for consideration of H.J. Res.37, directing the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules"
115,78,13-Feb,H RES 122,On Ordering the Previous Question,P,"Providing for consideration of H.J. Res.37, directing the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules"
115,77,11-Feb,H R 1079,"On Motion to Suspend the Rules and Pass, as Amended",P,Creating Advanced Streamlined Electronic Services for Constituents Act
115,76,11-Feb,H R 1065,On Motion to Suspend the Rules and Pass,P,Social Media Use in Clearance Investigations Act
115,75,8-Feb,H R 840,On Passage,P,Veterans Access to Child Care Act
115,74,8-Feb,H R 840,On Motion to Recommit with Instructions,F,Veterans Access to Child Care Act
115,73,8-Feb,H R 840,On Agreeing to the Amendment,A,Sherrill of New Jersey Amendment No. 19
115,72,8-Feb,H R 840,On Agreeing to the Amendment,F,Bergman of Michigan Amendment No. 4
115,71,7-Feb,H R 507,On Motion to Suspend the Rules and Pass,P,Put Trafficking Victims First Act of 2019
115,70,7-Feb,H R 450,"On Motion to Suspend the Rules and Pass, as Amended",P,Preventing Crimes Against Veterans Act of 2019
115,69,7-Feb,H RES 105,On Agreeing to the Resolution,P,"Providing for consideration of H.R. 840, the Veterans Access to Child Care Act; providing for adoption of H.Res. 86, providing amounts for the expenses of the Select Committee on the Climate Crisis and the Select Committee on the Modernization of Congress; providing for consideration of motions to suspend the rules"
115,68,7-Feb,H RES 105,On Ordering the Previous Question,P,"Providing for consideration of H.R. 840, the Veterans Access to Child Care Act; providing for adoption of H.Res. 86, providing amounts for the expenses of the Select Committee on the Climate Crisis and the Select Committee on the Modernization of Congress; providing for consideration of motions to suspend the rules"
115,67,6-Feb,H R 66,On Motion to Suspend the Rules and Pass,P,Route 66 Centennial Commission Act
115,66,6-Feb,H R 831,On Motion to Suspend the Rules and Pass,P,Reviving Americas Scenic Byways Act
115,65,30-Jan,H RES 79,"On Motion to Suspend the Rules and Agree, as Amended",F,Expressing the sense of the House of Representatives that Government shutdowns are detrimental to the Nation and should not occur
115,64,30-Jan,H R 790,On Passage,P,Federal Civilian Workforce Pay Raise Fairness Act
115,63,30-Jan,H R 790,On Motion to Recommit with Instructions,F,Federal Civilian Workforce Pay Raise Fairness Act
115,62,30-Jan,H R 790,On Agreeing to the Amendment,A,Trahan of Massachusetts Part B Amendment No. 3
115,61,30-Jan,H RES 87,On Agreeing to the Resolution,P,"Providing for consideration of the bill (H.R. 790) to provide for a pay increase in 2019 for certain civilian employees of the Federal Government, and for other purposes, and providing for consideration of motions to suspend the rules"
