names,descriptions,statuses,bill_committees,sponsors
S.1500,Military Special Victims Protection Act of 2019,Introduced,Armed Services,Joni Ernst
S.1499,Wildlife Corridors Conservation Act of 2019,Introduced,Environment and Public Works,Tom Udall
S.1498,Department of Defense Climate Resiliency and Readiness Act,Introduced,Armed Services,Elizabeth Warren
S.1497,Health Care Price Check Act of 2019,Introduced,Finance,Ron Wyden
S.1496,Empowering Students Through Enhanced Financial Counseling Act,Introduced,"Health, Education, Labor, and Pensions",Mark R. Warner
S.1495,Combating Military Sexual Assault Act,Introduced,Armed Services,Martha McSally
S.1494,Secure and Protect Act of 2019,Introduced,Judiciary,Lindsey Graham
S.1493,Developing the National Security Workforce Act of 2019,Introduced,Armed Services,Doug Jones
S.1492,Tyler Clementi Higher Education Anti-Harassment Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Patty Murray
S.1491,Restoring Justice for Workers Act,Introduced,"Health, Education, Labor, and Pensions",Patty Murray
S.1490,Reverse Transfer Efficiency Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Mark R. Warner
S.1489,Joint Consolidation Loan Separation Act,Introduced,"Health, Education, Labor, and Pensions",Mark R. Warner
S.1488,Racehorse Doping Ban Act of 2019,Introduced,"Commerce, Science, and Transportation",Tom Udall
S.1487,Zero-Emission Vehicles Act of 2019,Introduced,Environment and Public Works,Jeff Merkley
S.1486,Prioritizing Our Workers Act,Introduced,"Health, Education, Labor, and Pensions",Joe Manchin III
S.1485,Map Improvement Act of 2019,Introduced,"Commerce, Science, and Transportation",Joe Manchin III
S.1484,Diversifying Emergency Benchmarks for the Recovery of Individuals after Storms Act,Introduced,Homeland Security and Governmental Affairs,Richard Blumenthal
S.1483,Survivor Outreach and Support Campus Act,Introduced,"Health, Education, Labor, and Pensions",Tim Kaine
S.1482,Safeguarding America's Future and Environment Act,Introduced,Environment and Public Works,Sheldon Whitehouse
S.1481,Healthy Maternity and Obstetric Medicine Act,Introduced,Finance,Sherrod Brown
S.1480,Back the Blue Act of 2019,Introduced,Judiciary,John Cornyn
S.1479,Next Generation 9-1-1 Act of 2019,Introduced,"Commerce, Science, and Transportation",Amy Klobuchar
S.1478,"A bill to repeal the Office of Financial Research, and for other purposes.",Introduced,"Banking, Housing, and Urban Affairs",Ted Cruz
S.1477,Public Engagement at FERC Act,Introduced,Energy and Natural Resources,Jeanne Shaheen
S.1476,Huntington's Disease Parity Act of 2019,Introduced,Finance,Kirsten E. Gillibrand
S.1475,Charities Helping Americans Regularly Throughout the Year Act of 2019,Introduced,Finance,John Thune
S.1474,Afghan Allies Protection Act of 2019,Introduced,Judiciary,Jeanne Shaheen
S.1473,Protect Drinking Water from PFAS Act of 2019,Introduced,Environment and Public Works,Kirsten E. Gillibrand
S.1472,Protecting American Votes and Elections Act of 2019,Introduced,Rules and Administration,Ron Wyden
S.1471,Armed Forces Digital Advantage Act,Introduced,Armed Services,Martin Heinrich
S.1470,"A bill to strengthen border security, increase resources for enforcement of immigration laws, and for other purposes.",Introduced,Judiciary,Martha McSally
S.1469,Prevention of Foreign Interference with Elections Act of 2019,Introduced,Judiciary,Dianne Feinstein
S.1468,Cambodia Accountability and Return on Investment Act of 2019,Introduced,Foreign Relations,Lindsey Graham
S.1467,Sergeant Daniel Somers Network of Support Act,Introduced,Armed Services,Kyrsten Sinema
S.1466,Cyber Ready Workforce Act,Introduced,"Health, Education, Labor, and Pensions",Jacky Rosen
S.1465,Childhood Outcomes Need New Efficient Community Teams,Introduced,Finance,Gary C. Peters
S.1464,Law Enforcement Training for Mental Health Crisis Response Act of 2019,Introduced,Judiciary,James M. Inhofe
S.1463,A bill to establish a scorekeeping rule to ensure that increases in guarantee fees of Fannie Mae and Freddie Mac shall not be used to offset provisions that increase the deficit.,Introduced,Budget,David Perdue
S.1462,Disarm Hate Act,Introduced,Judiciary,Robert P. Casey Jr.
S.1461,Access to Infertility Treatment and Care Act,Introduced,"Health, Education, Labor, and Pensions",Cory A. Booker
S.1460,Retirement Investments for a Sustainable Economy Act of 2019,Introduced,Homeland Security and Governmental Affairs,Jeff Merkley
S.1459,China Technology Transfer Control Act of 2019,Introduced,"Banking, Housing, and Urban Affairs",Josh Hawley
S.1458,Outdoors for All Act,Introduced,Energy and Natural Resources,Kamala D. Harris
S.1457,"Sharing Urgent, Potentially Problematic Locations that Yield Communications Hazards in American Internet Networks Act of 2019",Introduced,"Commerce, Science, and Transportation",Marsha Blackburn
S.1456,Agency Accountability Act of 2019,Introduced,Homeland Security and Governmental Affairs,Mike Lee
S.1455,Horse Protection Amendments Act of 2019,Introduced,"Commerce, Science, and Transportation",Lamar Alexander
S.1454,Voting System Cybersecurity Act of 2019,Introduced,Rules and Administration,Gary C. Peters
S.1453,Assistance for Farmers Harmed by Tariffs on Exports Act,Introduced,Finance,Doug Jones
S.1452,Maritime Academy Reinvestment And Training Improvements for Mariner Employment Act,Introduced,"Commerce, Science, and Transportation",Edward J. Markey
S.1451,People's Liberation Army (PLA) Visa Security Act,Introduced,Judiciary,Tom Cotton
S.1450,Supporting Adoptive Families Act,Introduced,Finance,Amy Klobuchar
S.1449,LABEL Opioids Act,Introduced,"Health, Education, Labor, and Pensions",Edward J. Markey
S.1448,Safer Prescribing of Controlled Substances Act,Introduced,"Health, Education, Labor, and Pensions",Edward J. Markey
S.1447,Agricultural Export Expansion Act of 2019,Introduced,"Banking, Housing, and Urban Affairs",Michael F. Bennet
S.1446,Safe Home Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Amy Klobuchar
S.1445,Central America Reform and Enforcement Act,Introduced,Judiciary,Charles E. Schumer
S.1444,A bill to repeal the provision of law that provides automatic pay adjustments for Members of Congress.,Introduced,Homeland Security and Governmental Affairs,Rick Scott
S.1443,Credit for Caring Act of 2019,Introduced,Finance,Joni Ernst
S.1442,School Security Enhancement Act,Introduced,"Health, Education, Labor, and Pensions",Ted Cruz
S.1441,Protecting Europe's Energy Security Act of 2019,Introduced,Foreign Relations,Ted Cruz
S.1440,PROTECT Immigration Act,Introduced,Judiciary,Cory A. Booker
S.1439,Maritime Administration Authorization and Enhancement Act of 2019,Introduced,"Commerce, Science, and Transportation",Roger F. Wicker
S.1438,Breast Cancer Research Stamp Reauthorization Act of 2019,Introduced,Homeland Security and Governmental Affairs,Dianne Feinstein
S.1437,Drug-price Transparency in Communications (DTC) Act,Introduced,Finance,Richard J. Durbin
S.1436,A bill to make technical corrections to the computation of average pay under Public Law 110-279.,Became Law,21. (TXT | PDF) (All Actions),Sherrod Brown
S.1435,Commission on Retirement Security Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Todd Young
S.1434,Construction Consensus Procurement Improvement Act of 2019,Passed Senate,Homeland Security and Governmental Affairs | House,Rob Portman
S.1433,New START Treaty Improvement Act of 2019,Introduced,Foreign Relations,Tom Cotton
S.1432,Improve Data on Sexual Violence Act,Introduced,Homeland Security and Governmental Affairs,Ron Johnson
S.1431,Retirement Security and Savings Act of 2019,Introduced,Finance,Rob Portman
S.1430,Representative Payee Fraud Prevention Act of 2019,Passed Senate,Homeland Security and Governmental Affairs | House,James Lankford
S.1429,21st Century Endangered Species Transparency Act,Introduced,Environment and Public Works,John Cornyn
S.1428,Retirement Parity for Student Loans Act,Introduced,Finance,Ron Wyden
S.1427,Global Leadership in Advanced Manufacturing Act of 2019,Introduced,"Commerce, Science, and Transportation",Christopher A. Coons
S.1426,A bill to amend the Endangered Species Act of 1973 to establish a procedure for approval of certain settlements.,Introduced,Environment and Public Works,John Cornyn
S.1425,"A bill to amend the Internal Revenue Code of 1986 to expand the deduction for interest on education loans, to extend and expand the deduction for qualified tuition and related expenses, and eliminate the limitation on contributions to Coverdell education savings accounts.",Introduced,Finance,Rand Paul
S.1424,MORE Savings Act,Introduced,Finance,Robert P. Casey Jr.
S.1423,"Medicare and Medicaid Dental, Vision, and Hearing Benefit Act of 2019",Introduced,Finance,Robert P. Casey Jr.
S.1422,Strengthening the Medicare Trust Fund Act,Introduced,Finance,Robert P. Casey Jr.
S.1421,Ghost Army Congressional Gold Medal Act,Introduced,"Banking, Housing, and Urban Affairs",Edward J. Markey
S.1420,Setting Manageable Analysis Requirements in Text Act of 2019,Introduced,Homeland Security and Governmental Affairs,Kyrsten Sinema
S.1419,Early Participation in Regulations Act of 2019,Introduced,Homeland Security and Governmental Affairs,James Lankford
S.1418,Strength in Diversity Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Christopher Murphy
S.1417,Maritime Administration Authorization and Enhancement Act of 2019,Introduced,"Commerce, Science, and Transportation",Roger F. Wicker
S.1416,Affordable Prescriptions for Patients Act of 2019,Introduced,Judiciary,John Cornyn
S.1415,Bipartisan Disaster Recovery Funding Act of 2019,Introduced,"Banking, Housing, and Urban Affairs",Joe Manchin III
S.1414,Student Borrower Bankruptcy Relief Act of 2019,Introduced,Judiciary,Richard J. Durbin
S.1413,END Network Abuse Act of 2019,Introduced,Armed Services,Brian Schatz
S.1412,RAISE VET FUND Act,Introduced,Homeland Security and Governmental Affairs,Charles E. Schumer
S.1411,AMICUS Act,Introduced,Judiciary,Sheldon Whitehouse
S.1410,FISH SAFE Act,Introduced,"Commerce, Science, and Transportation",Edward J. Markey
S.1409,Small Business Regulatory Relief Act of 2019,Introduced,Small Business and Entrepreneurship,Jeanne Shaheen
S.1408,Child Care Protection Improvement Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Richard Burr
S.1407,Aviation Empowerment Act,Introduced,"Commerce, Science, and Transportation",Mike Lee
S.1406,"A bill to revise the boundaries of a unit of the John H. Chafee Coastal Barrier Resources System in Topsail, North Carolina, and for other purposes.",Introduced,Environment and Public Works,Thom Tillis
S.1405,A bill to amend the Internal Revenue Code of 1986 to extend the credit for production of refined coal.,Introduced,Finance,Steve Daines
S.1404,End Diaper Need Act of 2019,Introduced,Finance,Tammy Duckworth
S.1403,Expanding On-Campus Child Care to Help Student Parents Succeed Act,Introduced,"Health, Education, Labor, and Pensions",Tammy Duckworth
S.1402,Honoring Family-Friendly Workplaces Act,Introduced,"Health, Education, Labor, and Pensions",Tammy Duckworth
S.1401,ESP Family Leave Act,Introduced,"Health, Education, Labor, and Pensions",Tammy Duckworth
S.1400,SAVE Act,Introduced,"Health, Education, Labor, and Pensions",Robert Menendez
S.1399,Title VIII Nursing Workforce Reauthorization Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Jeff Merkley
S.1398,Smart Cities and Communities Act of 2019,Introduced,"Commerce, Science, and Transportation",Maria Cantwell
S.1397,A bill to amend the Help America Vote Act of 2002 to provide for a national Federal write-in absentee ballot for domestic use.,Introduced,Rules and Administration,Amy Klobuchar
S.1396,Protect America's Paper for Recycling Act,Introduced,Finance,Debbie Stabenow
S.1395,Age 21 Act,Introduced,Judiciary,Dianne Feinstein
S.1394,Public Safety Employer-Employee Cooperation Act,Introduced,"Health, Education, Labor, and Pensions",Tammy Baldwin
S.1393,Ban Conflicted Trading Act,Introduced,Homeland Security and Governmental Affairs,Jeff Merkley
S.1392,Support for Suicide Prevention Coordinators Act,Introduced,Veterans' Affairs,Dan Sullivan
S.1391,Fair Accountability and Innovative Research Drug Pricing Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Tammy Baldwin
S.1390,Creig Sharp Funeral Honors for Veterans Act,Introduced,Veterans' Affairs,Dan Sullivan
S.1389,Loan Shark Prevention Act,Introduced,"Banking, Housing, and Urban Affairs",Bernard Sanders
S.1388,Supply Chain Counterintelligence Training Act of 2019,Passed Senate,Homeland Security and Governmental Affairs | House,Gary C. Peters
S.1387,Consider Teachers Act,Introduced,"Health, Education, Labor, and Pensions",Mike Braun
S.1386,Hardrock Mining and Reclamation Act of 2019,Introduced,Energy and Natural Resources,Tom Udall
S.1385,Contracting and Tax Accountability Act of 2019,Introduced,Homeland Security and Governmental Affairs,John Kennedy
S.1384,Prescription Drug Rebate Reform Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Mitt Romney
S.1383,"A bill to amend the Servicemembers Civil Relief Act to provide a guarantee of residency for registration of businesses of spouses of members of the uniformed services, to improve occupational license portability for military spouses through interstate compacts, and for other purposes.",Introduced,Armed Services,Tom Cotton
S.1382,Wild Olympics Wilderness and Wild and Scenic Rivers Act,Introduced,Energy and Natural Resources,Patty Murray
S.1381,"A bill to modify the presumption of service connection for veterans who were exposed to herbicide agents while serving in the Armed Forces in Thailand during the Vietnam era, and for other purposes.",Introduced,Veterans' Affairs,John Boozman
S.1380,Due Process Protections Act,Introduced,Judiciary,Dan Sullivan
S.1379,Pandemic and All-Hazards Preparedness and Advancing Innovation Act of 2019,Became Law,"Health, Education, Labor, and Pensions",Richard Burr
S.1378,Repeal Insurance Plans of the Multi-State Program Act,Introduced,Homeland Security and Governmental Affairs,Ron Johnson
S.1377,EQUAL Defense Act of 2019,Introduced,Judiciary,Kamala D. Harris
S.1376,Family First Transition and Support Act of 2019,Introduced,Finance,Sherrod Brown
S.1375,Reef Safe Act of 2019,Introduced,"Commerce, Science, and Transportation",Jeff Merkley
S.1374,Metastatic Breast Cancer Access to Care Act,Introduced,Finance,Martha McSally
S.1373,SNIFF Act,Introduced,Homeland Security and Governmental Affairs,Bill Cassidy
S.1372,PFAS Accountability Act of 2019,Introduced,Environment and Public Works,Debbie Stabenow
S.1371,Oxybenzone and Octinoxate Impact Study Act of 2019,Introduced,Environment and Public Works,Jeff Merkley
S.1370,Gold Star Family Tax Relief Act,Passed Senate,Finance,Bill Cassidy
S.1369,Vietnam Human Rights Sanctions Act of 2019,Introduced,Foreign Relations,John Cornyn
S.1368,Lumbee Recognition Act,Introduced,Indian Affairs,Richard Burr
S.1367,"A bill to designate Union Station in Washington, DC, as ""Harry S. Truman Union Station"".",Introduced,Environment and Public Works,Roy Blunt
S.1366,Opioid QuOTA Act,Introduced,Judiciary,Edward J. Markey
S.1365,Comprehensive Addiction Resources Emergency Act of 2019,Introduced,"Health, Education, Labor, and Pensions",Elizabeth Warren
S.1364,Early Pell Promise Act,Introduced,"Health, Education, Labor, and Pensions",Debbie Stabenow
S.1363,AI in Government Act of 2019,Introduced,Homeland Security and Governmental Affairs,Brian Schatz
S.1362,NURSE Act,Introduced,"Health, Education, Labor, and Pensions",Jon Tester
