Name,State,District,Party,Terms
Seth Moulton,MA,6,D,House: 2015-Present
Debbie Mucarsel-Powell,FL,26,D,House: 2019-Present
Markwayne Mullin,OK,2,R,House: 2013-Present
Gregory Murphy,NC,3,R,House: 2019-Present
Stephanie N. Murphy,FL,7,D,House: 2017-Present
Jerrold Nadler,NY,10,D,House: 1991-Present
Grace F. Napolitano,CA,32,D,House: 1999-Present
Richard E. Neal,MA,1,D,House: 1989-Present
Joe Neguse,CO,2,D,House: 2019-Present
Dan Newhouse,WA,4,R,House: 2015-Present
Donald Norcross,NJ,1,D,House: 2014-Present
Ralph Norman,SC,5,R,House: 2017-Present
Eleanor Holmes Norton,DC,'At Large',D,House: 1991-Present
Devin Nunes,CA,22,R,House: 2003-Present
Tom OHalleran,AZ,1,D,House: 2017-Present
Alexandria Ocasio-Cortez,NY,14,D,House: 2019-Present
Pete Olson,TX,22,R,House: 2009-Present
Ilhan Omar,MN,5,D,House: 2019-Present
Steven M. Palazzo,MS,4,R,House: 2011-Present
Frank Pallone Jr.,NJ,6,D,House: 1987-Present
Gary J. Palmer,AL,6,R,House: 2015-Present
Jimmy Panetta,CA,20,D,House: 2017-Present
Chris Pappas,NH,1,D,House: 2019-Present
Bill Pascrell Jr.,NJ,9,D,House: 1997-Present
Donald M. Payne Jr.,NJ,10,D,House: 2012-Present
Nancy Pelosi,CA,12,D,House: 1987-Present
Greg Pence,IN,6,R,House: 2019-Present
Ed Perlmutter,CO,7,D,House: 2007-Present
Scott Perry,PA,10,R,House: 2013-Present
Scott H. Peters,CA,52,D,House: 2013-Present
Collin C. Peterson,MN,7,D,House: 1991-Present
Dean Phillips,MN,3,D,House: 2019-Present
Chellie Pingree,ME,1,D,House: 2009-Present
Stacey E. Plaskett,VI,'At Large',D,House: 2015-Present
Mark Pocan,WI,2,D,House: 2013-Present
Katie Porter,CA,45,D,House: 2019-Present
Bill Posey,FL,8,R,House: 2009-Present
Ayanna Pressley,MA,7,D,House: 2019-Present
David E. Price,NC,4,D,"House: 1987-1995, 1997-Present"
Mike Quigley,IL,5,D,House: 2009-Present
Aumua Amata Coleman Radewagen,AS,'At Large',R,House: 2015-Present
Jamie Raskin,MD,8,D,House: 2017-Present
John Ratcliffe,TX,4,R,House: 2015-Present
Tom Reed,NY,23,R,House: 2010-Present
Guy Reschenthaler,PA,14,R,House: 2019-Present
Kathleen M. Rice,NY,4,D,House: 2015-Present
Tom Rice,SC,7,R,House: 2013-Present
Cedric L. Richmond,LA,2,D,House: 2011-Present
Denver Riggleman,VA,5,R,House: 2019-Present
Martha Roby,AL,2,R,House: 2011-Present
David P. Roe,TN,1,R,House: 2009-Present
Harold Rogers,KY,5,R,House: 1981-Present
Mike D. Rogers,AL,3,R,House: 2003-Present
Francis Rooney,FL,19,R,House: 2017-Present
John W. Rose,TN,6,R,House: 2019-Present
Max Rose,NY,11,D,House: 2019-Present
Harley Rouda,CA,48,D,House: 2019-Present
David Rouzer,NC,7,R,House: 2015-Present
Chip Roy,TX,21,R,House: 2019-Present
Lucille Roybal-Allard,CA,40,D,House: 1993-Present
Raul Ruiz,CA,36,D,House: 2013-Present
C. A. Dutch Ruppersberger,MD,2,D,House: 2003-Present
Bobby L. Rush,IL,1,D,House: 1993-Present
John H. Rutherford,FL,4,R,House: 2017-Present
Tim Ryan,OH,13,D,House: 2003-Present
Gregorio Kilili Camacho Sablan,MP,'At Large',D,House: 2009-Present
Michael F. Q. San Nicolas,GU,'At Large',D,House: 2019-Present
Linda T. Sanchez,CA,38,D,House: 2003-Present
John P. Sarbanes,MD,3,D,House: 2007-Present
Steve Scalise,LA,1,R,House: 2008-Present
Mary Gay Scanlon,PA,5,D,House: 2018-Present
Janice D. Schakowsky,IL,9,D,House: 1999-Present
Adam B. Schiff,CA,28,D,House: 2001-Present
Bradley Scott Schneider,IL,10,D,"House: 2013-2015, 2017-Present"
Kurt Schrader,OR,5,D,House: 2009-Present
Kim Schrier,WA,8,D,House: 2019-Present
David Schweikert,AZ,6,R,House: 2011-Present
Austin Scott,GA,8,R,House: 2011-Present
David Scott,GA,13,D,House: 2003-Present
"Robert C. ""Bobby"" Scott",VA,3,D,House: 1993-Present
F. James Sensenbrenner Jr.,WI,5,R,House: 1979-Present
Jose E. Serrano,NY,15,D,House: 1989-Present
Terri A. Sewell,AL,7,D,House: 2011-Present
Donna E. Shalala,FL,27,D,House: 2019-Present
Brad Sherman,CA,30,D,House: 1997-Present
Mikie Sherrill,NJ,11,D,House: 2019-Present
John Shimkus,IL,15,R,House: 1997-Present
Michael K. Simpson,ID,2,R,House: 1999-Present
Albio Sires,NJ,8,D,House: 2005-Present
Elissa Slotkin,MI,8,D,House: 2019-Present
Adam Smith,WA,9,D,House: 1997-Present
Adrian Smith,NE,3,R,House: 2007-Present
Christopher H. Smith,NJ,4,R,House: 1981-Present
Jason Smith,MO,8,R,House: 2013-Present
Lloyd Smucker,PA,11,R,House: 2017-Present
Darren Soto,FL,9,D,House: 2017-Present
Abigail Davis Spanberger,VA,7,D,House: 2019-Present
Ross Spano,FL,15,R,House: 2019-Present
Jackie Speier,CA,14,D,House: 2008-Present
Greg Stanton,AZ,9,D,House: 2019-Present
Pete Stauber,MN,8,R,House: 2019-Present
Elise M. Stefanik,NY,21,R,House: 2015-Present
Bryan Steil,WI,1,R,House: 2019-Present
W. Gregory Steube,FL,17,R,House: 2019-Present
Haley M. Stevens,MI,11,D,House: 2019-Present
Chris Stewart,UT,2,R,House: 2013-Present
Steve Stivers,OH,15,R,House: 2011-Present
Thomas R. Suozzi,NY,3,D,House: 2017-Present
Eric Swalwell,CA,15,D,House: 2013-Present
Mark Takano,CA,41,D,House: 2013-Present
Van Taylor,TX,3,R,House: 2019-Present
Bennie G. Thompson,MS,2,D,House: 1993-Present
Glenn Thompson,PA,15,R,House: 2009-Present
Mike Thompson,CA,5,D,House: 1999-Present
Mac Thornberry,TX,13,R,House: 1995-Present
William R. Timmons IV,SC,4,R,House: 2019-Present
Scott R. Tipton,CO,3,R,House: 2011-Present
Dina Titus,NV,1,D,"House: 2009-2011, 2013-Present"
Rashida Tlaib,MI,13,D,House: 2019-Present
Paul Tonko,NY,20,D,House: 2009-Present
Xochitl Torres Small,NM,2,D,House: 2019-Present
Norma J. Torres,CA,35,D,House: 2015-Present
Lori Trahan,MA,3,D,House: 2019-Present
David J. Trone,MD,6,D,House: 2019-Present
Michael R. Turner,OH,10,R,House: 2003-Present
Lauren Underwood,IL,14,D,House: 2019-Present
Fred Upton,MI,6,R,House: 1987-Present
Jefferson Van Drew,NJ,2,R,House: 2019-Present
Juan Vargas,CA,51,D,House: 2013-Present
Marc A. Veasey,TX,33,D,House: 2013-Present
Filemon Vela,TX,34,D,House: 2013-Present
Nydia M. Velazquez,NY,7,D,House: 1993-Present
Peter J. Visclosky,IN,1,D,House: 1985-Present
Ann Wagner,MO,2,R,House: 2013-Present
Tim Walberg,MI,7,R,"House: 2007-2009, 2011-Present"
Greg Walden,OR,2,R,House: 1999-Present
Mark Walker,NC,6,R,House: 2015-Present
Jackie Walorski,IN,2,R,House: 2013-Present
Michael Waltz,FL,6,R,House: 2019-Present
Debbie Wasserman Schultz,FL,23,D,House: 2005-Present
Maxine Waters,CA,43,D,House: 1991-Present
Steve Watkins,KS,2,R,House: 2019-Present
Bonnie Watson Coleman,NJ,12,D,House: 2015-Present
Randy K. Weber Sr.,TX,14,R,House: 2013-Present
Daniel Webster,FL,11,R,House: 2011-Present
Peter Welch,VT,'At Large',D,House: 2007-Present
Brad R. Wenstrup,OH,2,R,House: 2013-Present
Bruce Westerman,AR,4,R,House: 2015-Present
Jennifer Wexton,VA,10,D,House: 2019-Present
Susan Wild,PA,7,D,House: 2018-Present
Roger Williams,TX,25,R,House: 2013-Present
Frederica S. Wilson,FL,24,D,House: 2011-Present
Joe Wilson,SC,2,R,House: 2001-Present
Robert J. Wittman,VA,1,R,House: 2007-Present
Steve Womack,AR,3,R,House: 2011-Present
Rob Woodall,GA,7,R,House: 2011-Present
Ron Wright,TX,6,R,House: 2019-Present
John A. Yarmuth,KY,3,D,House: 2007-Present
Ted S. Yoho,FL,3,R,House: 2013-Present
Don Young,AK,'At Large',R,House: 1973-Present
Lee M. Zeldin,NY,1,R,House: 2015-Present
