names,descriptions,statuses,bill_committees,sponsors
S.2438,End Tuberculosis Now Act of 2019,Introduced,Foreign Relations,"Sen. Menendez, Robert [D-NJ]"
S.2437,Support Working Families Act,Introduced,Finance,"Sen. Young, Todd [R-IN]"
S.2436,Southern Campaign of the Revolution National Heritage Corridor Act of 2019,Introduced,Energy and Natural Resources,"Sen. Graham, Lindsey [R-SC]"
S.2435,BASIC Act,Introduced,Budget,"Sen. Daines, Steve [R-MT]"
S.2434,National Criminal Justice Commission Act of 2019,Introduced,Judiciary,"Sen. Peters, Gary C. [D-MI]"
S.2433,Expanding Broadcast Ownership Opportunities Act of 2019,Introduced,Finance,"Sen. Peters, Gary C. [D-MI]"
S.2432,Station Agent in Every Amtrak State Act,Introduced,"Commerce, Science, and Transportation","Sen. Manchin, Joe, III [D-WV]"
S.2431,Stop Unwanted Calls for All Act,Introduced,"Commerce, Science, and Transportation","Sen. Manchin, Joe, III [D-WV]"
S.2430,"A bill to provide an exemption from certain requirements for federally funded projects and activities in areas not in metropolitan statistical areas, and for other purposes.",Introduced,Environment and Public Works,"Sen. Blackburn, Marsha [R-TN]"
S.2429,Restoring Resilient Reefs Act of 2019,Introduced,"Commerce, Science, and Transportation","Sen. Rubio, Marco [R-FL]"
S.2428,Medigap Consumer Protection Act of 2019,Introduced,Finance,"Sen. Brown, Sherrod [D-OH]"
S.2427,Women's History and Nineteenth Amendment Centennial Quarter Dollar Coin Program Act,Introduced,"Banking, Housing, and Urban Affairs","Sen. Cortez Masto, Catherine  [D-NV]"
S.2426,"A bill to establish a new timeline for certain State implementation plan and attainment requirements for the Fairbanks North Star Borough of the State of Alaska, and for other purposes.",Introduced,Environment and Public Works,"Sen. Sullivan, Dan  [R-AK]"
S.2425,CHP Support Act of 2019,Introduced,Energy and Natural Resources,"Sen. King, Angus S., Jr. [I-ME]"
S.2424,EARLY Act Reauthorization of 2019,Introduced,"Health, Education, Labor, and Pensions","Sen. Klobuchar, Amy [D-MN]"
S.2423,A bill to amend the Internal Revenue Code of 1986 for purposes of the tax on private foundation excess business holdings to treat as outstanding any employee-owned stock purchased by a business enterprise pursuant to certain employee stock ownership retirement plans.,Introduced,Finance,"Sen. Stabenow, Debbie [D-MI]"
S.2422,Clean Energy Grid Act of 2019,Introduced,Energy and Natural Resources,"Sen. Shaheen, Jeanne [D-NH]"
S.2421,Disaster Contract Transparency Act of 2019,Introduced,Homeland Security and Governmental Affairs,"Sen. Scott, Rick  [R-FL]"
S.2420,End Child Trafficking Now Act,Introduced,Judiciary,"Sen. Blackburn, Marsha [R-TN]"
S.2419,A bill to provide for the conveyance of a small parcel of Coconino National Forest land in the State of Arizona.,Introduced,Energy and Natural Resources,"Sen. McSally, Martha [R-AZ]"
S.2418,Conservation Of America's Shoreline Terrain and Aquatic Life Act,Introduced,Energy and Natural Resources,"Sen. Cassidy, Bill [R-LA]"
S.2417,Unclaimed Savings Bond Act of 2019,Introduced,Finance,"Sen. Kennedy, John [R-LA]"
S.2416,"Economic Mobility, Prosperity, and Opportunity with Waivers that Enable Reforms for States Act of 2019",Introduced,Homeland Security and Governmental Affairs,"Sen. Ernst, Joni  [R-IA]"
S.2415,Wind Workforce Modernization and Training Act of 2019,Introduced,Energy and Natural Resources,"Sen. Ernst, Joni  [R-IA]"
S.2414,A bill to amend the Internal Revenue Code of 1986 to extend the Health Coverage Tax Credit.,Introduced,Finance,"Sen. Portman, Rob [R-OH]"
S.2413,Trade Certainty Act of 2019,Introduced,Finance,"Sen. Carper, Thomas R. [D-DE]"
S.2412,Addiction Treatment Access Act,Introduced,Finance,"Sen. Tester, Jon [D-MT]"
S.2411,Rural Health Innovation Act of 2019,Introduced,"Health, Education, Labor, and Pensions","Sen. Blackburn, Marsha [R-TN]"
S.2410,"Flood Reduction, Wildlife Habitat, and Water Quality Improvement Act of 2019",Introduced,Environment and Public Works,"Sen. Hyde-Smith, Cindy [R-MS]"
S.2409,United States Reciprocal Trade Act,Introduced,Finance,"Sen. Graham, Lindsey [R-SC]"
S.2408,Telehealth Across State Lines Act of 2019,Introduced,"Health, Education, Labor, and Pensions","Sen. Blackburn, Marsha [R-TN]"
S.2407,"A bill to amend title 38, United States Code, to provide criminal penalties for individuals acting as agents or attorneys for the preparation, presentation, or prosecution of a claim under a law administered by the Secretary of Veterans Affairs without being recognized by the Secretary for such purposes, and for other purposes.",Introduced,Veterans' Affairs,"Sen. Daines, Steve [R-MT]"
S.2406,Rural America Health Corps Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Blackburn, Marsha [R-TN]"
S.2405,Christopher Bryski Student Loan Protection Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Menendez, Robert [D-NJ]"
S.2404,"Build Local, Hire Local Act",Introduced,Environment and Public Works,"Sen. Gillibrand, Kirsten E. [D-NY]"
S.2403,Community Health and Clean Transit Act of 2019,Introduced,"Banking, Housing, and Urban Affairs","Sen. Merkley, Jeff [D-OR]"
S.2402,Crude Oil Advance Tracking Act,Introduced,"Commerce, Science, and Transportation","Sen. Wyden, Ron [D-OR]"
S.2401,Jurists United to Stop Trafficking Imitation Child Exploitation Act of 2019,Introduced,Judiciary,"Sen. Kennedy, John [R-LA]"
S.2400,Expanding Cannabis Research and Information Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Durbin, Richard J. [D-IL]"
S.2399,A bill to amend the Energy Policy Act of 2005 to improve State loan eligibility for projects for innovative technologies.,Introduced,Energy and Natural Resources,"Sen. Murkowski, Lisa [R-AK]"
S.2398,Voter Privacy Act of 2019,Introduced,Rules and Administration,"Sen. Feinstein, Dianne [D-CA]"
S.2397,"Electronic Service for Effectiveness, Reduction of Violence, and Improved Court Efficiency Act of 2019",Introduced,Judiciary,"Sen. Sullivan, Dan  [R-AK]"
S.2396,Protecting the Rights of Families and Immigrants Who Legally Entered From Detention Act,Introduced,Judiciary,"Sen. Menendez, Robert [D-NJ]"
S.2395,Jumpstart on College Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Markey, Edward J. [D-MA]"
S.2394,Richard G. Lugar and Ellen O. Tauscher Act to Maintain Limits on Russian Nuclear Forces,Introduced,Foreign Relations,"Sen. Van Hollen, Chris [D-MD]"
S.2393,Clean Energy Jobs Act of 2019,Introduced,Energy and Natural Resources,"Sen. Heinrich, Martin [D-NM]"
S.2392,Veterans Reimbursement for Emergency Ambulance Services Act,Introduced,Veterans' Affairs,"Sen. Cramer, Kevin [R-ND]"
S.2391,Stock Buyback Reform and Worker Dividend Act of 2019,Introduced,"Banking, Housing, and Urban Affairs","Sen. Brown, Sherrod [D-OH]"
S.2390,"A bill to prohibit the imposition of the death penalty for any violation of Federal law, and for other purposes.",Introduced,Judiciary,"Sen. Durbin, Richard J. [D-IL]"
S.2389,FAIR Proceedings Act,Introduced,Judiciary,"Sen. Gillibrand, Kirsten E. [D-NY]"
S.2388,A bill to amend the Internal Revenue Code of 1986 to permit the postponement of certain deadlines by reason of significant fires.,Introduced,Finance,"Sen. Tester, Jon [D-MT]"
S.2387,We Protect American Investment in Drugs Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Van Hollen, Chris [D-MD]"
S.2386,"Targeting Invasive Autocratic Networks, And Necessary Mandatory Export Notifications Act of 2019",Introduced,"Banking, Housing, and Urban Affairs","Sen. Cruz, Ted [R-TX]"
