Name,State,District,Party,Terms
Jerry McNerney,CA,9.0,D,House: 2007-Present
Martha McSally,AZ,At Large,R,Senate: 2019-Present | House: 2015-2019
Mark Meadows,NC,11.0,R,House: 2013-Present
Patrick Meehan,PA,7.0,R,House: 2011-2018
Gregory W. Meeks,NY,5.0,D,House: 1997-Present
Grace Meng,NY,6.0,D,House: 2013-Present
Luke Messer,IN,6.0,R,House: 2013-2019
Paul Mitchell,MI,10.0,R,House: 2017-Present
John R. Moolenaar,MI,4.0,R,House: 2015-Present
Alexander X. Mooney,WV,2.0,R,House: 2015-Present
Gwen Moore,WI,4.0,D,House: 2005-Present
Joseph D. Morelle,NY,25.0,D,House: 2018-Present
Seth Moulton,MA,6.0,D,House: 2015-Present
Markwayne Mullin,OK,2.0,R,House: 2013-Present
Mick Mulvaney,SC,5.0,R,House: 2011-2017
Stephanie N. Murphy,FL,7.0,D,House: 2017-Present
Tim Murphy,PA,18.0,R,House: 2003-2017
Jerrold Nadler,NY,10.0,D,House: 1991-Present
Grace F. Napolitano,CA,32.0,D,House: 1999-Present
Richard E. Neal,MA,1.0,D,House: 1989-Present
Dan Newhouse,WA,4.0,R,House: 2015-Present
Kristi L. Noem,SD,At Large,R,House: 2011-2019
Richard M. Nolan,MN,8.0,D,"House: 1975-1981, 2013-2019"
Donald Norcross,NJ,1.0,D,House: 2014-Present
Ralph Norman,SC,5.0,R,House: 2017-Present
Eleanor Holmes Norton,,At Large,D,House: 1991-Present
Devin Nunes,CA,22.0,R,House: 2003-Present
Tom O'Halleran,AZ,1.0,D,House: 2017-Present
Beto O'Rourke,TX,16.0,D,House: 2013-2019
Pete Olson,TX,22.0,R,House: 2009-Present
Steven M. Palazzo,MS,4.0,R,House: 2011-Present
Frank Pallone Jr.,NJ,6.0,D,House: 1987-Present
Gary J. Palmer,AL,6.0,R,House: 2015-Present
Jimmy Panetta,CA,20.0,D,House: 2017-Present
Bill Pascrell Jr.,NJ,9.0,D,House: 1997-Present
Erik Paulsen,MN,3.0,R,House: 2009-2019
Donald M. Payne Jr.,NJ,10.0,D,House: 2012-Present
Stevan Pearce,NM,2.0,R,"House: 2003-2009, 2011-2019"
Nancy Pelosi,CA,12.0,D,House: 1987-Present
Ed Perlmutter,CO,7.0,D,House: 2007-Present
Scott Perry,PA,10.0,R,House: 2013-Present
Scott H. Peters,CA,52.0,D,House: 2013-Present
Collin C. Peterson,MN,7.0,D,House: 1991-Present
Chellie Pingree,ME,1.0,D,House: 2009-Present
Robert Pittenger,NC,9.0,R,House: 2013-2019
Stacey E. Plaskett,,At Large,D,House: 2015-Present
Mark Pocan,WI,2.0,D,House: 2013-Present
Ted Poe,TX,2.0,R,House: 2005-2019
Bruce Poliquin,ME,2.0,R,House: 2015-2019
Jared Polis,CO,2.0,D,House: 2009-2019
Mike Pompeo,KS,4.0,R,House: 2011-2017
Bill Posey,FL,8.0,R,House: 2009-Present
David E. Price,NC,4.0,D,"House: 1987-1995, 1997-Present"
Tom Price,GA,6.0,R,House: 2005-2017
Mike Quigley,IL,5.0,D,House: 2009-Present
Aumua Amata Coleman Radewagen,,At Large,R,House: 2015-Present
Jamie Raskin,MD,8.0,D,House: 2017-Present
John Ratcliffe,TX,4.0,R,House: 2015-Present
Tom Reed,NY,23.0,R,House: 2010-Present
David G. Reichert,WA,8.0,R,House: 2005-2019
James B. Renacci,OH,16.0,R,House: 2011-2019
Kathleen M. Rice,NY,4.0,D,House: 2015-Present
Tom Rice,SC,7.0,R,House: 2013-Present
Cedric L. Richmond,LA,2.0,D,House: 2011-Present
Martha Roby,AL,2.0,R,House: 2011-Present
David P. Roe,TN,1.0,R,House: 2009-Present
Harold Rogers,KY,5.0,R,House: 1981-Present
Mike D. Rogers,AL,3.0,R,House: 2003-Present
Dana Rohrabacher,CA,48.0,R,House: 1989-2019
Todd Rokita,IN,4.0,R,House: 2011-2019
Francis Rooney,FL,19.0,R,House: 2017-Present
